"[1.2091328639289702, 4.296169078419779]"
"[1.2086870237613088, 4.310656359708294]"
"[1.2081219332083453, 4.325196923785153]"
"[1.2076644773210496, 4.340068962279234]"
"[1.2071450748202244, 4.354687135462783]"
"[1.2064718499210996, 4.371691832170129]"
"[1.2059400753775664, 4.386448805781246]"
"[1.2054302562145842, 4.401154057923571]"
"[1.2050480118772882, 4.413517004492391]"
"[1.2044537399037727, 4.428065530697162]"
"[1.2038893770665131, 4.44244823965403]"
"[1.2033380279640882, 4.457385151254713]"
"[1.2027142093299765, 4.474465505514222]"
"[1.2022138272749034, 4.489465056202343]"
"[1.201586815745274, 4.504313907066796]"
"[1.200896262484154, 4.518946847777843]"
"[1.2002873051385765, 4.5359794195461705]"
"[1.1998000102370683, 4.5508422327281055]"
"[1.1991660545122838, 4.565591265260088]"
"[1.1985479756803386, 4.580346762419822]"
"[1.1978948045243747, 4.595094745575497]"
"[1.1973979045633978, 4.609777677109181]"
"[1.1968291721782522, 4.624386126217412]"
"[1.1962490420138567, 4.639122218413012]"
"[1.195617444579032, 4.653498247502935]"
"[1.1949691144803338, 4.6679123193623395]"
"[1.1944332419565986, 4.682467031388654]"
"[1.1938396758817997, 4.697275917796687]"
"[1.1932964641006654, 4.711917064141003]"
"[1.1925994831684024, 4.726639774260615]"
"[1.191926622826119, 4.741420571506196]"
"[1.1914711203489994, 4.755989706744644]"
"[1.1909006086759613, 4.7680912506722395]"
"[1.1903369340442158, 4.782763411992012]"
"[1.1897887572307075, 4.795078293852719]"
"[1.1889969365071023, 4.811957534843861]"
"[1.1886814457756192, 4.823876266870319]"
"[1.1879180297372702, 4.841206746086327]"
"[1.187442061219845, 4.853197247352082]"
"[1.1867673657970577, 4.868161957459335]"
"[1.186069392286155, 4.882365043411394]"
"[1.1856065743705022, 4.897415178328012]"
"[1.184898678198572, 4.909377668433449]"
"[1.1843357142505753, 4.926372290207549]"
"[1.1837670654868948, 4.938641768391245]"
"[1.1830174343223951, 4.9535747370887355]"
"[1.1826241322208768, 4.964936759562075]"
"[1.1818969355348155, 4.980324181757737]"
"[1.1814092834485248, 4.994597171116755]"
"[1.1808224218290997, 5.00641836065571]"
"[1.180096547913692, 5.021272205763526]"
"[1.1795434561290874, 5.036045237831004]"
"[1.1788671264259212, 5.050672480859167]"
"[1.1781776379573035, 5.067750727535661]"
